alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.142,0.0,0.0,3795.5776,-192.93729,1005.94,0.925000011920929,3896.850830078125,,,,
0.143,0.0,0.0,3488.6714,-19.656769,466.84006,0.925000011920929,3907.1875,,,,
0.144,0.0,0.0,3316.3083,48.78415,459.05002,,,,,,
0.145,0.0,0.0,3555.8872,106.458954,706.6899,,,,,,
0.146,0.0,0.0,3848.9788,397.79538,1041.7999,,,,,,
0.147,0.0,0.0,4163.221,24.918182,1036.9,,,,,,
0.148,0.0,0.0,3744.763,297.4326,527.89984,,,,,,
0.149,0.0,0.0,2962.0176,15.963104,998.07,,,,,,
0.15,0.0,0.0,3619.6182,253.85178,1493.54,,,,,,
0.151,0.0,0.0,4548.7046,319.8293,2299.9,,,,,,
0.152,0.0,0.0,5316.2705,578.2917,2666.85,,,,,,
0.153,0.0,0.0,6401.2124,467.86032,855.9499,,,,,,
0.154,0.0,0.0,2727.1997,59.096893,1676.2201,,,,,,
0.145,1.0,1.0,4448.2603,487.75095,7982.6104,,,,,,
0.136,1.0,1.0,10668.351,2105.7534,906.31,,,,,,
0.137,0.0,0.0,5553.6167,451.0139,2280.78,,,,,,
0.138,0.0,0.0,4343.1963,666.8569,819.4399,,,,,,
0.139,0.0,0.0,5214.104,356.73776,1232.26,,,,,,
0.14,0.0,0.0,5824.926,68.96213,412.31003,,,,,,
0.141,0.0,0.0,2840.2954,239.24826,311.05002,,,,,,
0.132,1.0,1.0,3731.881,273.77463,75.6799,,,,,,
0.133,0.0,0.0,4811.8237,-250.74588,678.15985,,,,,,
0.134,0.0,0.0,4051.354,321.61423,1115.54,,,,,,
0.135,0.0,0.0,4121.856,248.6257,2060.67,,,,,,
0.136,0.0,0.0,4046.5366,310.5151,372.74997,,,,,,
0.137,0.0,0.0,2398.6343,-4.5036926,488.45993,,,,,,
0.138,0.0,0.0,4436.392,-21.338165,106.700165,,,,,,
0.139,0.0,0.0,5079.6914,72.05197,518.37006,,,,,,
0.14,0.0,0.0,3402.1736,-255.96951,345.58005,,,,,,
0.141,0.0,0.0,2304.347,-217.88382,168.37009,,,,,,
0.142,0.0,0.0,2836.0615,-240.31155,189.70993,,,,,,
0.143,0.0,0.0,3080.0342,-208.1553,402.1799,,,,,,
0.144,0.0,0.0,1980.994,59.045868,1105.8,,,,,,
0.145,0.0,0.0,2538.5408,29.845673,127.65988,,,,,,
0.146,0.0,0.0,1538.0098,-378.55862,405.29,,,,,,
0.147,0.0,0.0,3141.8591,-350.60208,2745.1,,,,,,
0.148,0.0,0.0,6614.4917,514.9277,3048.63,,,,,,
0.149,0.0,0.0,7107.259,476.12057,1032.87,,,,,,
0.15,0.0,0.0,3270.4412,347.01877,496.9299,,,,,,
0.151,0.0,0.0,2577.4543,117.51047,229.69992,,,,,,
0.152,0.0,0.0,4427.637,25.64035,261.82004,,,,,,
